tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Shenzhen Open - Shenzhen" ,2018-01-05 ,"Barbora Krejcikova/Katerina Siniakova" ,"Lesley Kerkhove/Lidziya Marozava" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,4 , ,
"Bangkok Challenger" ,2018-01-06 ,"Gerard Granollers/Marcel Granollers" ,"Zdenek Kolar/Goncalo Oliveira" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Brisbane International - Brisbane" ,2018-01-06 ,"Leonardo Mayer/Horacio Zeballos" ,"Wesley Koolhof/Artem Sitak" ,2 ,1 ,4 ,6 ,1 , , ,6 ,1 ,6 , ,
"Brisbane International - Brisbane" ,2018-01-06 ,"Henri Kontinen/John Peers" ,"Grigor Dimitrov/Ryan Harrison" ,1 ,0 ,w , , , , , , , , ,
"Maharashtra Open - Pune" ,2018-01-06 ,"Robin Haase/Matwe Middelkoop" ,"Pierre Hugues Herbert/Gilles Simon" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Playford Challenger" ,2018-01-06 ,"Mackenzie McDonald/Tommy Paul" ,"Maverick Banes/Jason Murray Kubler" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Brisbane International - Brisbane" ,2018-01-06 ,"Kiki Bertens/Demi Schuurs" ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-06 ,"Irina Camelia Begu/Simona Halep" ,"Barbora Krejcikova/Katerina Siniakova" ,2 ,1 ,1 ,6 ,1 , , ,6 ,1 ,8 , ,
"Brisbane International - Brisbane" ,2018-01-07 ,"Henri Kontinen/John Peers" ,"Leonardo Mayer/Horacio Zeballos" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,2 , ,
"ASB Classic - Auckland" ,2018-01-07 ,"Sara Errani/Bibiane Schoofs" ,"Eri Hozumi/Miyu Kato" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
"Sydney International - Sydney" ,2018-01-07 ,"Lucie Safarova/Barbora Strycova" ,"Alicja Rosolska/Abigail Spears" ,2 ,1 ,4 ,6 ,1 , , ,6 ,0 ,8 , ,
"Sydney International - Sydney" ,2018-01-07 ,"Gabriela Dabrowski/Yifan Xu" ,"Monique Adamczak/Storm Sanders" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"ASB Classic - Auckland" ,2018-01-08 ,"Santiago Gonzalez/Julio Peralta" ,"Marcelo Demoliner/Treat Conrad Huey" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
